RH FE,LH FE,RK FE,LK FE
34.8,-1.9,15.0,35.7
34.4,-0.5,15.9,39.2
34.0,1.2,16.8,42.8
33.6,3.0,17.7,46.5
33.1,5.0,18.7,50.2
32.6,7.0,19.7,53.8
32.0,9.1,20.6,57.2
31.4,11.2,21.5,60.2
30.7,13.3,22.2,62.9
29.9,15.3,22.7,65.2
29.1,17.3,23.1,66.9
28.3,19.2,23.3,68.3
27.3,20.9,23.4,69.2
26.4,22.6,23.2,69.7
25.3,24.2,23.0,69.8
24.3,25.7,22.6,69.6
23.2,27.1,22.2,68.9
22.2,28.5,21.7,67.9
21.1,29.8,21.1,66.6
20.0,31.0,20.6,65.0
19.0,32.1,20.0,63.1
17.9,33.2,19.4,60.9
16.8,34.1,18.8,58.4
15.8,35.0,18.2,55.7
14.7,35.7,17.5,52.7
13.7,36.4,16.9,49.6
12.7,36.9,16.3,46.3
11.7,37.3,15.8,42.8
10.7,37.6,15.2,39.1
9.8,37.7,14.6,35.4
8.8,37.7,14.1,31.7
7.9,37.6,13.6,27.9
7.0,37.4,13.1,24.3
6.2,37.1,12.7,20.9
5.3,36.8,12.3,17.9
4.5,36.5,12.0,15.2
3.7,36.2,11.7,13.2
2.9,35.9,11.5,11.8
2.1,35.7,11.3,11.1
1.3,35.5,11.3,11.0
0.6,35.3,11.3,13.7
-0.2,35.0,11.4,14.6
-0.9,34.6,11.7,15.6
-1.5,34.1,12.0,16.5
-2.2,33.6,12.5,17.5
-2.7,33.1,13.1,18.5
-3.2,32.5,13.9,19.5
-3.7,31.8,14.8,20.4
-4.1,31.1,15.8,21.0
-4.4,30.3,16.9,21.5
-4.7,29.4,18.2,21.9
-4.8,28.5,19.7,22.0
-4.9,27.5,21.4,22.0
-4.7,26.4,23.4,21.8
-4.4,25.4,25.6,21.5
-3.8,24.3,28.1,21.1
-3.0,23.1,30.9,20.6
-1.9,22.0,34.0,20.1
-0.6,20.9,37.3,19.5
0.9,19.7,40.8,18.9
2.6,18.6,44.5,18.3
4.4,17.5,48.1,17.7
6.4,16.4,51.8,17.1
8.5,15.3,55.2,16.5
10.5,14.2,58.5,15.9
12.6,13.1,61.3,15.3
14.6,12.1,63.7,14.7
16.6,11.0,65.7,14.2
18.4,10.0,67.2,13.6
20.2,9.0,68.3,13.1
21.9,8.1,69.0,12.7
23.5,7.1,69.3,12.2
25.0,6.3,69.2,11.8
26.4,5.4,68.8,11.5
27.8,4.6,68.0,11.1
29.1,3.7,66.9,10.9
30.3,2.9,65.4,10.6
31.4,2.1,63.7,10.5
32.4,1.3,61.7,10.3
33.4,0.6,59.4,10.3
34.3,-0.2,56.9,10.3
35.1,-0.9,54.2,10.5
35.7,-1.6,51.3,10.8
36.3,-2.3,48.1,11.1
36.8,-2.9,44.8,11.6
37.2,-3.5,41.4,12.2
37.4,-4.0,37.9,12.9
37.5,-4.5,34.3,13.7
37.4,-4.9,30.6,14.7
37.3,-5.3,27.1,15.7
37.1,-5.5,23.6,17.0
36.8,-5.7,20.4,18.4
36.4,-5.7,17.5,20.1
36.1,-5.6,15.1,22.0
35.7,-5.4,13.3,24.1
35.5,-4.9,12.1,26.6
35.2,-4.1,11.5,29.4
35.0,-3.1,11.7,32.4
34.9,-2.6,12.5,33.4
34.8,-2.2,14.0,34.6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
